pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
1,0,wifi,0,1.000,0,63,13,16.250,NA,NA,0,13,16,20.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0, 1, 13, 14, 15, 16, 17, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 61, 62, 63]"
2,0,ble,13,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,4,5.000,true,NA,NA,NA,64,[]
3,0,ble,26,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
4,0,ble,29,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
5,0,ble,25,1.000,0,63,60,75.000,per_ce,[25],0,NA,NA,NA,NA,NA,60,64,80.000,4,5.000,true,NA,NA,NA,64,"[60, 61, 62, 63]"
6,0,ble,6,1.000,0,63,21,26.250,per_ce,"[6, 15]",0,NA,NA,NA,NA,NA,21,32,40.000,1,1.250,true,NA,NA,NA,64,"[21, 53]"
7,0,ble,7,1.000,0,63,20,25.000,per_ce,"[7, 14]",0,NA,NA,NA,NA,NA,20,32,40.000,2,2.500,true,NA,NA,NA,64,"[20, 21, 52, 53]"
8,0,ble,32,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,3,3.750,true,NA,NA,NA,64,[]
9,0,ble,13,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,4,5.000,true,NA,NA,NA,64,[]
10,0,ble,24,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,3,3.750,true,NA,NA,NA,64,[]
11,0,ble,7,1.000,0,63,42,52.500,per_ce,[7],0,NA,NA,NA,NA,NA,42,64,80.000,1,1.250,true,NA,NA,NA,64,[42]
12,0,ble,35,1.000,0,63,10,12.500,per_ce,"[35, 5]",0,NA,NA,NA,NA,NA,10,32,40.000,2,2.500,true,NA,NA,NA,64,"[10, 11, 42, 43]"
13,0,ble,10,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
14,0,ble,7,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,6,7.500,true,NA,NA,NA,64,[]
15,0,ble,9,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,[]
16,0,ble,8,1.000,0,63,19,23.750,per_ce,"[8, 13]",0,NA,NA,NA,NA,NA,19,32,40.000,4,5.000,true,NA,NA,NA,64,"[19, 20, 21, 22, 51, 52, 53, 54]"
17,0,ble,3,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
18,0,ble,16,1.000,0,63,0,0.000,per_ce,"[16, 21, 26]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,"[0, 8, 16]"
19,0,ble,21,1.000,0,63,5,6.250,per_ce,"[21, 26, 31, 36]",0,NA,NA,NA,NA,NA,5,16,20.000,1,1.250,true,NA,NA,NA,64,"[5, 21, 37, 53]"
20,0,ble,5,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,6,7.500,true,NA,NA,NA,64,[]
21,0,ble,17,1.000,0,63,29,36.250,per_ce,"[17, 22, 27]",0,NA,NA,NA,NA,NA,29,8,10.000,5,6.250,true,NA,NA,NA,64,"[29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49]"
22,0,ble,1,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
23,0,ble,20,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
24,0,ble,13,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,2,2.500,true,NA,NA,NA,64,[]
25,0,wifi,5,1.000,0,63,6,7.500,NA,NA,0,6,32,40.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[6, 7, 8, 9, 10, 38, 39, 40, 41, 42]"
26,0,ble,25,1.000,0,63,7,8.750,per_ce,"[25, 30, 35, 3]",0,NA,NA,NA,NA,NA,7,16,20.000,6,7.500,true,NA,NA,NA,64,"[7, 8, 9, 10, 11, 12, 23, 24, 25, 26, 27, 28, 39, 40, 41, 42, 43, 44, 55, 56, 57, 58, 59, 60]"
27,0,ble,27,1.000,0,63,59,73.750,per_ce,[27],0,NA,NA,NA,NA,NA,59,64,80.000,5,6.250,true,NA,NA,NA,64,"[59, 60, 61, 62, 63]"
28,0,ble,5,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,1,1.250,true,NA,NA,NA,64,[]
29,0,ble,32,1.000,0,63,0,0.000,per_ce,[32],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,"[0, 1, 2, 3, 4]"
30,0,ble,29,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
31,0,ble,8,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,6,7.500,true,NA,NA,NA,64,[]
32,0,ble,16,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,2,2.500,true,NA,NA,NA,64,[]
33,0,ble,34,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,4,5.000,true,NA,NA,NA,64,[]
34,0,ble,32,1.000,0,63,14,17.500,per_ce,"[32, 4, 13]",0,NA,NA,NA,NA,NA,14,8,10.000,6,7.500,true,NA,NA,NA,64,"[14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35]"
35,0,ble,2,1.000,0,63,20,25.000,per_ce,[2],0,NA,NA,NA,NA,NA,20,64,80.000,5,6.250,true,NA,NA,NA,64,"[20, 21, 22, 23, 24]"
36,0,ble,33,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,2,2.500,true,NA,NA,NA,64,[]
37,0,ble,2,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
38,0,ble,12,1.000,0,63,0,0.000,per_ce,[12],0,NA,NA,NA,NA,NA,0,64,80.000,6,7.500,true,NA,NA,NA,64,"[0, 1, 2, 3, 4, 5]"
39,0,ble,26,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
