pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
0,0,3,47,48,2409.000,2411.000
0,1,10,55,56,2423.000,2425.000
0,2,17,63,64,2439.000,2441.000
2,0,13,20,24,2431.000,2433.000
3,0,26,0,1,2457.000,2459.000
3,1,35,8,9,2475.000,2477.000
3,2,7,16,17,2417.000,2419.000
3,3,16,24,25,2437.000,2439.000
3,4,25,32,33,2455.000,2457.000
3,5,34,40,41,2473.000,2475.000
3,6,6,48,49,2415.000,2417.000
3,7,15,56,57,2435.000,2437.000
5,0,25,20,24,2455.000,2457.000
6,0,6,21,22,2415.000,2417.000
6,1,13,53,54,2431.000,2433.000
7,0,7,20,22,2417.000,2419.000
7,1,14,52,54,2433.000,2435.000
8,0,32,13,16,2469.000,2471.000
8,1,0,29,32,2403.000,2405.000
8,2,5,45,48,2413.000,2415.000
8,3,10,61,64,2423.000,2425.000
9,0,13,60,64,2431.000,2433.000
10,0,24,0,3,2453.000,2455.000
10,1,29,16,19,2463.000,2465.000
10,2,34,32,35,2473.000,2475.000
10,3,2,48,51,2407.000,2409.000
11,0,7,63,64,2417.000,2419.000
12,0,35,20,22,2475.000,2477.000
12,1,5,52,54,2413.000,2415.000
16,0,8,19,23,2419.000,2421.000
16,1,15,51,55,2435.000,2437.000
18,0,16,31,32,2437.000,2439.000
18,1,23,39,40,2451.000,2453.000
18,2,30,47,48,2465.000,2467.000
19,0,21,0,1,2447.000,2449.000
19,1,26,16,17,2457.000,2459.000
19,2,31,32,33,2467.000,2469.000
19,3,36,48,49,2477.000,2479.000
20,0,5,17,23,2413.000,2415.000
20,1,10,49,55,2423.000,2425.000
23,0,20,19,22,2445.000,2447.000
23,1,25,51,54,2455.000,2457.000
24,0,13,30,32,2431.000,2433.000
24,1,22,46,48,2449.000,2451.000
24,2,31,62,64,2467.000,2469.000
26,0,25,0,6,2455.000,2457.000
26,1,30,16,22,2465.000,2467.000
26,2,35,32,38,2475.000,2477.000
26,3,3,48,54,2409.000,2411.000
27,0,27,0,5,2459.000,2461.000
28,0,5,15,16,2413.000,2415.000
28,1,14,31,32,2433.000,2435.000
28,2,23,47,48,2451.000,2453.000
28,3,32,63,64,2469.000,2471.000
29,0,32,0,5,2469.000,2471.000
33,0,34,12,16,2473.000,2475.000
33,1,2,28,32,2407.000,2409.000
33,2,7,44,48,2417.000,2419.000
33,3,12,60,64,2429.000,2431.000
36,0,33,4,6,2471.000,2473.000
36,1,3,12,14,2409.000,2411.000
36,2,10,20,22,2423.000,2425.000
36,3,17,28,30,2439.000,2441.000
36,4,24,36,38,2453.000,2455.000
36,5,31,44,46,2467.000,2469.000
36,6,1,52,54,2405.000,2407.000
36,7,8,60,62,2419.000,2421.000
37,0,2,19,22,2407.000,2409.000
37,1,11,51,54,2427.000,2429.000
38,0,12,19,25,2429.000,2431.000
41,0,30,9,14,2465.000,2467.000
41,1,35,41,46,2475.000,2477.000
43,0,35,0,5,2475.000,2477.000
45,0,14,20,24,2433.000,2435.000
48,0,10,27,32,2423.000,2425.000
48,1,15,59,64,2435.000,2437.000
