schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[3, 10, 19, 26, 27, 29, 40, 43, 47]","[40, 47]","[3, 10, 19, 26, 27, 29, 43]",9,2,7
1,"[10, 26, 27, 29, 40, 43, 47]","[40, 47]","[10, 26, 27, 29, 43]",7,2,5
2,"[10, 26, 27, 29, 40, 43, 47]","[40, 47]","[10, 26, 27, 29, 43]",7,2,5
3,"[26, 27, 29, 40, 43, 47]","[40, 47]","[26, 27, 29, 43]",6,2,4
4,"[26, 27, 29, 36, 40, 43, 47]","[40, 47]","[26, 27, 29, 36, 43]",7,2,5
5,"[26, 36, 40, 47]","[40, 47]","[26, 36]",4,2,2
6,"[40, 47]","[40, 47]",[],2,2,0
7,"[1, 40]","[1, 40]",[],2,2,0
8,"[1, 3, 46]","[1, 46]",[3],3,2,1
9,"[1, 41, 46]","[1, 46]",[41],3,2,1
10,"[1, 41, 46]","[1, 46]",[41],3,2,1
11,"[1, 41, 46]","[1, 46]",[41],3,2,1
12,"[33, 36, 41, 46]",[46],"[33, 36, 41]",4,1,3
13,"[8, 33, 36, 41, 46]",[46],"[8, 33, 36, 41]",5,1,4
14,"[8, 25, 33]",[25],"[8, 33]",3,1,2
15,"[8, 25, 28, 33]",[25],"[8, 28, 33]",4,1,3
16,"[3, 10, 19, 25, 26]",[25],"[3, 10, 19, 26]",5,1,4
17,"[10, 20, 25, 26]",[25],"[10, 20, 26]",4,1,3
18,"[10, 20, 25, 26]",[25],"[10, 20, 26]",4,1,3
19,"[16, 20, 23, 26, 37, 38]",[],"[16, 20, 23, 26, 37, 38]",6,0,6
20,"[2, 5, 7, 12, 16, 20, 23, 26, 36, 37, 38, 45]",[],"[2, 5, 7, 12, 16, 20, 23, 26, 36, 37, 38, 45]",12,0,12
21,"[2, 5, 6, 7, 12, 16, 20, 23, 26, 36, 37, 38, 45]",[],"[2, 5, 6, 7, 12, 16, 20, 23, 26, 36, 37, 38, 45]",13,0,13
22,"[2, 5, 16, 20, 38, 45]",[],"[2, 5, 16, 20, 38, 45]",6,0,6
23,"[1, 2, 5, 38, 45]",[1],"[2, 5, 38, 45]",5,1,4
24,"[1, 3, 38]",[1],"[3, 38]",3,1,2
25,[1],[1],[],1,1,0
26,[1],[1],[],1,1,0
27,"[1, 48]",[1],[48],2,1,1
28,"[33, 36, 48]",[],"[33, 36, 48]",3,0,3
29,"[8, 33, 36, 48]",[],"[8, 33, 36, 48]",4,0,4
30,"[8, 24, 33, 48]",[],"[8, 24, 33, 48]",4,0,4
31,"[8, 18, 24, 28, 33, 48]",[],"[8, 18, 24, 28, 33, 48]",6,0,6
32,"[3, 10, 19, 26, 40, 47]","[40, 47]","[3, 10, 19, 26]",6,2,4
33,"[10, 26, 40, 47]","[40, 47]","[10, 26]",4,2,2
34,"[10, 26, 40, 47]","[40, 47]","[10, 26]",4,2,2
35,"[26, 40, 47]","[40, 47]",[26],3,2,1
36,"[26, 36, 40, 47]","[40, 47]","[26, 36]",4,2,2
37,"[26, 36, 40, 47]","[40, 47]","[26, 36]",4,2,2
38,"[40, 47]","[40, 47]",[],2,2,0
39,"[1, 18, 40]","[1, 40]",[18],3,2,1
40,"[1, 3, 46]","[1, 46]",[3],3,2,1
41,"[1, 41, 46]","[1, 46]",[41],3,2,1
42,"[1, 41, 46]","[1, 46]",[41],3,2,1
43,"[1, 41, 46]","[1, 46]",[41],3,2,1
44,"[33, 36, 41, 46]",[46],"[33, 36, 41]",4,1,3
45,"[8, 33, 36, 41, 46]",[46],"[8, 33, 36, 41]",5,1,4
46,"[8, 24, 25, 33]",[25],"[8, 24, 33]",4,1,3
47,"[0, 8, 18, 24, 25, 28, 33]",[25],"[0, 8, 18, 24, 28, 33]",7,1,6
48,"[3, 10, 19, 25, 26]",[25],"[3, 10, 19, 26]",5,1,4
49,"[10, 20, 25, 26]",[25],"[10, 20, 26]",4,1,3
50,"[10, 20, 25, 26]",[25],"[10, 20, 26]",4,1,3
51,"[16, 20, 23, 26, 37]",[],"[16, 20, 23, 26, 37]",5,0,5
52,"[7, 12, 16, 20, 23, 26, 36, 37]",[],"[7, 12, 16, 20, 23, 26, 36, 37]",8,0,8
53,"[6, 7, 12, 16, 20, 23, 26, 36, 37]",[],"[6, 7, 12, 16, 20, 23, 26, 36, 37]",9,0,9
54,"[16, 20]",[],"[16, 20]",2,0,2
55,"[0, 1]",[1],[0],2,1,1
56,"[1, 3]",[1],[3],2,1,1
57,[1],[1],[],1,1,0
58,[1],[1],[],1,1,0
59,"[1, 48]",[1],[48],2,1,1
60,"[9, 33, 36, 48]",[],"[9, 33, 36, 48]",4,0,4
61,"[8, 9, 33, 36, 48]",[],"[8, 9, 33, 36, 48]",5,0,5
62,"[8, 9, 24, 33, 48]",[],"[8, 9, 24, 33, 48]",5,0,5
63,"[0, 8, 9, 11, 24, 28, 33, 48]",[],"[0, 8, 9, 11, 24, 28, 33, 48]",8,0,8
