pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
5,0,25,60,64,2455.000,2457.000
6,0,6,21,22,2415.000,2417.000
6,1,15,53,54,2435.000,2437.000
7,0,7,20,22,2417.000,2419.000
7,1,14,52,54,2433.000,2435.000
11,0,7,42,43,2417.000,2419.000
12,0,35,10,12,2475.000,2477.000
12,1,5,42,44,2413.000,2415.000
16,0,8,19,23,2419.000,2421.000
16,1,13,51,55,2431.000,2433.000
18,0,16,0,1,2437.000,2439.000
18,1,21,8,9,2447.000,2449.000
18,2,26,16,17,2457.000,2459.000
19,0,21,5,6,2447.000,2449.000
19,1,26,21,22,2457.000,2459.000
19,2,31,37,38,2467.000,2469.000
19,3,36,53,54,2477.000,2479.000
21,0,17,29,34,2439.000,2441.000
21,1,22,37,42,2449.000,2451.000
21,2,27,45,50,2459.000,2461.000
26,0,25,7,13,2455.000,2457.000
26,1,30,23,29,2465.000,2467.000
26,2,35,39,45,2475.000,2477.000
26,3,3,55,61,2409.000,2411.000
27,0,27,59,64,2459.000,2461.000
29,0,32,0,5,2469.000,2471.000
34,0,32,14,20,2469.000,2471.000
34,1,4,22,28,2411.000,2413.000
34,2,13,30,36,2431.000,2433.000
35,0,2,20,25,2407.000,2409.000
38,0,12,0,6,2429.000,2431.000
41,0,30,0,5,2465.000,2467.000
41,1,35,32,37,2475.000,2477.000
43,0,35,59,64,2475.000,2477.000
44,0,35,14,19,2475.000,2477.000
44,1,7,22,27,2417.000,2419.000
44,2,16,30,35,2437.000,2439.000
45,0,14,0,4,2433.000,2435.000
48,0,10,0,5,2423.000,2425.000
48,1,19,32,37,2443.000,2445.000
