schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[1, 18, 29, 38, 41, 45, 48]",[1],"[18, 29, 38, 41, 45, 48]",7,1,6
1,"[1, 29, 38, 41, 45, 48]",[1],"[29, 38, 41, 45, 48]",6,1,5
2,"[29, 38, 41, 45, 47, 48]",[47],"[29, 38, 41, 45, 48]",6,1,5
3,"[29, 38, 41, 45, 47, 48]",[47],"[29, 38, 41, 45, 48]",6,1,5
4,"[29, 38, 41, 47, 48]",[47],"[29, 38, 41, 48]",5,1,4
5,"[19, 38, 47]",[47],"[19, 38]",3,1,2
6,"[25, 47]","[25, 47]",[],2,2,0
7,"[25, 26, 47]","[25, 47]",[26],3,2,1
8,"[18, 25, 26, 47]","[25, 47]","[18, 26]",4,2,2
9,"[25, 26]",[25],[26],2,1,1
10,"[12, 25, 26]",[25],"[12, 26]",3,1,2
11,"[12, 26, 40]",[40],"[12, 26]",3,1,2
12,"[26, 40]",[40],[26],2,1,1
13,"[1, 40]","[1, 40]",[],2,2,0
14,"[1, 34, 40, 44]","[1, 40]","[34, 44]",4,2,2
15,"[1, 34, 40, 44]","[1, 40]","[34, 44]",4,2,2
16,"[1, 18, 34, 40, 44]","[1, 40]","[18, 34, 44]",5,2,3
17,"[1, 34, 40, 44]","[1, 40]","[34, 44]",4,2,2
18,"[34, 40, 44]",[40],"[34, 44]",3,1,2
19,"[16, 34]",[],"[16, 34]",2,0,2
20,"[7, 16, 35]",[],"[7, 16, 35]",3,0,3
21,"[6, 7, 16, 19, 35]",[],"[6, 7, 16, 19, 35]",5,0,5
22,"[16, 34, 35, 44]",[],"[16, 34, 35, 44]",4,0,4
23,"[26, 34, 35, 44, 46]",[46],"[26, 34, 35, 44]",5,1,4
24,"[26, 34, 35, 44, 46]",[46],"[26, 34, 35, 44]",5,1,4
25,"[26, 34, 44, 46]",[46],"[26, 34, 44]",4,1,3
26,"[26, 34, 44, 46]",[46],"[26, 34, 44]",4,1,3
27,"[26, 34, 46]",[46],"[26, 34]",3,1,2
28,"[26, 46]",[46],[26],2,1,1
29,"[1, 21]",[1],[21],2,1,1
30,"[1, 21, 34, 44]",[1],"[21, 34, 44]",4,1,3
31,"[1, 21, 34, 44]",[1],"[21, 34, 44]",4,1,3
32,"[1, 21, 34, 41, 44, 48]",[1],"[21, 34, 41, 44, 48]",6,1,5
33,"[1, 21, 34, 41, 44, 48]",[1],"[21, 34, 41, 44, 48]",6,1,5
34,"[34, 41, 44, 47, 48]",[47],"[34, 41, 44, 48]",5,1,4
35,"[34, 41, 47, 48]",[47],"[34, 41, 48]",4,1,3
36,"[41, 47, 48]",[47],"[41, 48]",3,1,2
37,"[19, 21, 47]",[47],"[19, 21]",3,1,2
38,"[21, 25, 47]","[25, 47]",[21],3,2,1
39,"[21, 25, 26, 47]","[25, 47]","[21, 26]",4,2,2
40,"[21, 25, 26, 47]","[25, 47]","[21, 26]",4,2,2
41,"[21, 25, 26]",[25],"[21, 26]",3,1,2
42,"[11, 12, 25, 26]",[25],"[11, 12, 26]",4,1,3
43,"[12, 26, 40]",[40],"[12, 26]",3,1,2
44,"[26, 40]",[40],[26],2,1,1
45,"[1, 21, 40]","[1, 40]",[21],3,2,1
46,"[1, 21, 40]","[1, 40]",[21],3,2,1
47,"[1, 21, 40]","[1, 40]",[21],3,2,1
48,"[1, 21, 40]","[1, 40]",[21],3,2,1
49,"[1, 21, 40]","[1, 40]",[21],3,2,1
50,[40],[40],[],1,1,0
51,[16],[],[16],1,0,1
52,"[7, 16]",[],"[7, 16]",2,0,2
53,"[6, 7, 16, 19]",[],"[6, 7, 16, 19]",4,0,4
54,[16],[],[16],1,0,1
55,"[26, 46]",[46],[26],2,1,1
56,"[26, 46]",[46],[26],2,1,1
57,"[26, 46]",[46],[26],2,1,1
58,"[26, 46]",[46],[26],2,1,1
59,"[26, 27, 43, 46]",[46],"[26, 27, 43]",4,1,3
60,"[5, 26, 27, 43, 46]",[46],"[5, 26, 27, 43]",5,1,4
61,"[1, 5, 27, 43]",[1],"[5, 27, 43]",4,1,3
62,"[1, 5, 27, 43]",[1],"[5, 27, 43]",4,1,3
63,"[1, 5, 27, 43]",[1],"[5, 27, 43]",4,1,3
