pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
0,0,3,31,32,2409.000,2411.000
0,1,8,39,40,2419.000,2421.000
0,2,13,47,48,2431.000,2433.000
2,0,13,20,24,2431.000,2433.000
3,0,26,0,1,2457.000,2459.000
3,1,35,8,9,2475.000,2477.000
3,2,7,16,17,2417.000,2419.000
3,3,16,24,25,2437.000,2439.000
3,4,25,32,33,2455.000,2457.000
3,5,34,40,41,2473.000,2475.000
3,6,6,48,49,2415.000,2417.000
3,7,15,56,57,2435.000,2437.000
4,0,29,0,6,2463.000,2465.000
4,1,1,16,22,2405.000,2407.000
4,2,10,32,38,2423.000,2425.000
4,3,19,48,54,2443.000,2445.000
5,0,25,20,24,2455.000,2457.000
6,0,6,21,22,2415.000,2417.000
6,1,11,53,54,2427.000,2429.000
7,0,7,30,32,2417.000,2419.000
7,1,14,62,64,2433.000,2435.000
8,0,32,9,12,2469.000,2471.000
8,1,0,25,28,2403.000,2405.000
8,2,5,41,44,2413.000,2415.000
8,3,10,57,60,2423.000,2425.000
9,0,13,60,64,2431.000,2433.000
10,0,24,0,3,2453.000,2455.000
10,1,29,16,19,2463.000,2465.000
10,2,34,32,35,2473.000,2475.000
10,3,2,48,51,2407.000,2409.000
11,0,7,42,43,2417.000,2419.000
12,0,35,10,12,2475.000,2477.000
12,1,3,42,44,2409.000,2411.000
14,0,7,19,25,2417.000,2419.000
15,0,9,39,44,2421.000,2423.000
16,0,8,28,32,2419.000,2421.000
16,1,17,60,64,2439.000,2441.000
17,0,3,47,48,2409.000,2411.000
17,1,12,55,56,2429.000,2431.000
17,2,21,63,64,2447.000,2449.000
18,0,16,16,17,2437.000,2439.000
18,1,21,24,25,2447.000,2449.000
18,2,26,32,33,2457.000,2459.000
19,0,21,5,6,2447.000,2449.000
19,1,26,21,22,2457.000,2459.000
19,2,31,37,38,2467.000,2469.000
19,3,36,53,54,2477.000,2479.000
20,0,5,9,15,2413.000,2415.000
20,1,10,41,47,2423.000,2425.000
21,0,17,14,19,2439.000,2441.000
21,1,24,22,27,2453.000,2455.000
21,2,31,30,35,2467.000,2469.000
22,0,1,43,48,2405.000,2407.000
22,1,6,51,56,2415.000,2417.000
22,2,11,59,64,2427.000,2429.000
23,0,20,19,22,2445.000,2447.000
23,1,29,51,54,2463.000,2465.000
24,0,13,30,32,2431.000,2433.000
24,1,20,46,48,2445.000,2447.000
24,2,27,62,64,2459.000,2461.000
26,0,25,0,6,2455.000,2457.000
26,1,30,16,22,2465.000,2467.000
26,2,35,32,38,2475.000,2477.000
26,3,3,48,54,2409.000,2411.000
27,0,27,0,5,2459.000,2461.000
28,0,5,15,16,2413.000,2415.000
28,1,10,31,32,2423.000,2425.000
28,2,15,47,48,2435.000,2437.000
28,3,20,63,64,2445.000,2447.000
29,0,32,20,25,2469.000,2471.000
31,0,8,17,23,2419.000,2421.000
31,1,15,49,55,2435.000,2437.000
32,0,16,14,16,2437.000,2439.000
32,1,23,30,32,2451.000,2453.000
32,2,30,46,48,2465.000,2467.000
32,3,0,62,64,2403.000,2405.000
33,0,34,12,16,2473.000,2475.000
33,1,2,28,32,2407.000,2409.000
33,2,7,44,48,2417.000,2419.000
33,3,12,60,64,2429.000,2431.000
34,0,32,0,6,2469.000,2471.000
34,1,2,8,14,2407.000,2409.000
34,2,9,16,22,2421.000,2423.000
35,0,2,20,25,2407.000,2409.000
36,0,33,0,2,2471.000,2473.000
36,1,3,8,10,2409.000,2411.000
36,2,10,16,18,2423.000,2425.000
36,3,17,24,26,2439.000,2441.000
36,4,24,32,34,2453.000,2455.000
36,5,31,40,42,2467.000,2469.000
36,6,1,48,50,2405.000,2407.000
36,7,8,56,58,2419.000,2421.000
38,0,12,19,25,2429.000,2431.000
41,0,30,9,14,2465.000,2467.000
41,1,35,41,46,2475.000,2477.000
42,0,2,43,48,2407.000,2409.000
42,1,9,51,56,2421.000,2423.000
42,2,16,59,64,2437.000,2439.000
43,0,35,0,5,2475.000,2477.000
45,0,14,20,24,2433.000,2435.000
48,0,10,18,23,2423.000,2425.000
48,1,17,50,55,2439.000,2441.000
