pair_id,radio,channel,slot,slot_width,freq_low_mhz,freq_high_mhz,label,event_index
0,ble,3,31,1,2409.0,2411.0,ble-0-ev0,0
0,ble,8,39,1,2419.0,2421.0,ble-0-ev1,1
0,ble,13,47,1,2431.0,2433.0,ble-0-ev2,2
2,ble,13,20,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,21,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,22,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,23,1,2431.0,2433.0,ble-2-ev0,0
3,ble,26,0,1,2457.0,2459.0,ble-3-ev0,0
3,ble,35,8,1,2475.0,2477.0,ble-3-ev1,1
3,ble,7,16,1,2417.0,2419.0,ble-3-ev2,2
3,ble,16,24,1,2437.0,2439.0,ble-3-ev3,3
3,ble,25,32,1,2455.0,2457.0,ble-3-ev4,4
3,ble,34,40,1,2473.0,2475.0,ble-3-ev5,5
3,ble,6,48,1,2415.0,2417.0,ble-3-ev6,6
3,ble,15,56,1,2435.0,2437.0,ble-3-ev7,7
4,ble,29,0,1,2463.0,2465.0,ble-4-ev0,0
4,ble,29,1,1,2463.0,2465.0,ble-4-ev0,0
4,ble,29,2,1,2463.0,2465.0,ble-4-ev0,0
4,ble,29,3,1,2463.0,2465.0,ble-4-ev0,0
4,ble,29,4,1,2463.0,2465.0,ble-4-ev0,0
4,ble,29,5,1,2463.0,2465.0,ble-4-ev0,0
4,ble,1,16,1,2405.0,2407.0,ble-4-ev1,1
4,ble,1,17,1,2405.0,2407.0,ble-4-ev1,1
4,ble,1,18,1,2405.0,2407.0,ble-4-ev1,1
4,ble,1,19,1,2405.0,2407.0,ble-4-ev1,1
4,ble,1,20,1,2405.0,2407.0,ble-4-ev1,1
4,ble,1,21,1,2405.0,2407.0,ble-4-ev1,1
4,ble,10,32,1,2423.0,2425.0,ble-4-ev2,2
4,ble,10,33,1,2423.0,2425.0,ble-4-ev2,2
4,ble,10,34,1,2423.0,2425.0,ble-4-ev2,2
4,ble,10,35,1,2423.0,2425.0,ble-4-ev2,2
4,ble,10,36,1,2423.0,2425.0,ble-4-ev2,2
4,ble,10,37,1,2423.0,2425.0,ble-4-ev2,2
4,ble,19,48,1,2443.0,2445.0,ble-4-ev3,3
4,ble,19,49,1,2443.0,2445.0,ble-4-ev3,3
4,ble,19,50,1,2443.0,2445.0,ble-4-ev3,3
4,ble,19,51,1,2443.0,2445.0,ble-4-ev3,3
4,ble,19,52,1,2443.0,2445.0,ble-4-ev3,3
4,ble,19,53,1,2443.0,2445.0,ble-4-ev3,3
5,ble,25,20,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,21,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,22,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,23,1,2455.0,2457.0,ble-5-ev0,0
6,ble,6,21,1,2415.0,2417.0,ble-6-ev0,0
6,ble,11,53,1,2427.0,2429.0,ble-6-ev1,1
7,ble,7,30,1,2417.0,2419.0,ble-7-ev0,0
7,ble,7,31,1,2417.0,2419.0,ble-7-ev0,0
7,ble,14,62,1,2433.0,2435.0,ble-7-ev1,1
7,ble,14,63,1,2433.0,2435.0,ble-7-ev1,1
8,ble,32,9,1,2469.0,2471.0,ble-8-ev0,0
8,ble,32,10,1,2469.0,2471.0,ble-8-ev0,0
8,ble,32,11,1,2469.0,2471.0,ble-8-ev0,0
8,ble,0,25,1,2403.0,2405.0,ble-8-ev1,1
8,ble,0,26,1,2403.0,2405.0,ble-8-ev1,1
8,ble,0,27,1,2403.0,2405.0,ble-8-ev1,1
8,ble,5,41,1,2413.0,2415.0,ble-8-ev2,2
8,ble,5,42,1,2413.0,2415.0,ble-8-ev2,2
8,ble,5,43,1,2413.0,2415.0,ble-8-ev2,2
8,ble,10,57,1,2423.0,2425.0,ble-8-ev3,3
8,ble,10,58,1,2423.0,2425.0,ble-8-ev3,3
8,ble,10,59,1,2423.0,2425.0,ble-8-ev3,3
9,ble,13,60,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,61,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,62,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,63,1,2431.0,2433.0,ble-9-ev0,0
10,ble,24,0,1,2453.0,2455.0,ble-10-ev0,0
10,ble,24,1,1,2453.0,2455.0,ble-10-ev0,0
10,ble,24,2,1,2453.0,2455.0,ble-10-ev0,0
10,ble,29,16,1,2463.0,2465.0,ble-10-ev1,1
10,ble,29,17,1,2463.0,2465.0,ble-10-ev1,1
10,ble,29,18,1,2463.0,2465.0,ble-10-ev1,1
10,ble,34,32,1,2473.0,2475.0,ble-10-ev2,2
10,ble,34,33,1,2473.0,2475.0,ble-10-ev2,2
10,ble,34,34,1,2473.0,2475.0,ble-10-ev2,2
10,ble,2,48,1,2407.0,2409.0,ble-10-ev3,3
10,ble,2,49,1,2407.0,2409.0,ble-10-ev3,3
10,ble,2,50,1,2407.0,2409.0,ble-10-ev3,3
11,ble,7,42,1,2417.0,2419.0,ble-11-ev0,0
12,ble,35,10,1,2475.0,2477.0,ble-12-ev0,0
12,ble,35,11,1,2475.0,2477.0,ble-12-ev0,0
12,ble,3,42,1,2409.0,2411.0,ble-12-ev1,1
12,ble,3,43,1,2409.0,2411.0,ble-12-ev1,1
14,ble,7,19,1,2417.0,2419.0,ble-14-ev0,0
14,ble,7,20,1,2417.0,2419.0,ble-14-ev0,0
14,ble,7,21,1,2417.0,2419.0,ble-14-ev0,0
14,ble,7,22,1,2417.0,2419.0,ble-14-ev0,0
14,ble,7,23,1,2417.0,2419.0,ble-14-ev0,0
14,ble,7,24,1,2417.0,2419.0,ble-14-ev0,0
15,ble,9,39,1,2421.0,2423.0,ble-15-ev0,0
15,ble,9,40,1,2421.0,2423.0,ble-15-ev0,0
15,ble,9,41,1,2421.0,2423.0,ble-15-ev0,0
15,ble,9,42,1,2421.0,2423.0,ble-15-ev0,0
15,ble,9,43,1,2421.0,2423.0,ble-15-ev0,0
16,ble,8,28,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,29,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,30,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,31,1,2419.0,2421.0,ble-16-ev0,0
16,ble,17,60,1,2439.0,2441.0,ble-16-ev1,1
16,ble,17,61,1,2439.0,2441.0,ble-16-ev1,1
16,ble,17,62,1,2439.0,2441.0,ble-16-ev1,1
16,ble,17,63,1,2439.0,2441.0,ble-16-ev1,1
17,ble,3,47,1,2409.0,2411.0,ble-17-ev0,0
17,ble,12,55,1,2429.0,2431.0,ble-17-ev1,1
17,ble,21,63,1,2447.0,2449.0,ble-17-ev2,2
18,ble,16,16,1,2437.0,2439.0,ble-18-ev0,0
18,ble,21,24,1,2447.0,2449.0,ble-18-ev1,1
18,ble,26,32,1,2457.0,2459.0,ble-18-ev2,2
19,ble,21,5,1,2447.0,2449.0,ble-19-ev0,0
19,ble,26,21,1,2457.0,2459.0,ble-19-ev1,1
19,ble,31,37,1,2467.0,2469.0,ble-19-ev2,2
19,ble,36,53,1,2477.0,2479.0,ble-19-ev3,3
20,ble,5,9,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,10,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,11,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,12,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,13,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,14,1,2413.0,2415.0,ble-20-ev0,0
20,ble,10,41,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,42,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,43,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,44,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,45,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,46,1,2423.0,2425.0,ble-20-ev1,1
21,ble,17,14,1,2439.0,2441.0,ble-21-ev0,0
21,ble,17,15,1,2439.0,2441.0,ble-21-ev0,0
21,ble,17,16,1,2439.0,2441.0,ble-21-ev0,0
21,ble,17,17,1,2439.0,2441.0,ble-21-ev0,0
21,ble,17,18,1,2439.0,2441.0,ble-21-ev0,0
21,ble,24,22,1,2453.0,2455.0,ble-21-ev1,1
21,ble,24,23,1,2453.0,2455.0,ble-21-ev1,1
21,ble,24,24,1,2453.0,2455.0,ble-21-ev1,1
21,ble,24,25,1,2453.0,2455.0,ble-21-ev1,1
21,ble,24,26,1,2453.0,2455.0,ble-21-ev1,1
21,ble,31,30,1,2467.0,2469.0,ble-21-ev2,2
21,ble,31,31,1,2467.0,2469.0,ble-21-ev2,2
21,ble,31,32,1,2467.0,2469.0,ble-21-ev2,2
21,ble,31,33,1,2467.0,2469.0,ble-21-ev2,2
21,ble,31,34,1,2467.0,2469.0,ble-21-ev2,2
22,ble,1,43,1,2405.0,2407.0,ble-22-ev0,0
22,ble,1,44,1,2405.0,2407.0,ble-22-ev0,0
22,ble,1,45,1,2405.0,2407.0,ble-22-ev0,0
22,ble,1,46,1,2405.0,2407.0,ble-22-ev0,0
22,ble,1,47,1,2405.0,2407.0,ble-22-ev0,0
22,ble,6,51,1,2415.0,2417.0,ble-22-ev1,1
22,ble,6,52,1,2415.0,2417.0,ble-22-ev1,1
22,ble,6,53,1,2415.0,2417.0,ble-22-ev1,1
22,ble,6,54,1,2415.0,2417.0,ble-22-ev1,1
22,ble,6,55,1,2415.0,2417.0,ble-22-ev1,1
22,ble,11,59,1,2427.0,2429.0,ble-22-ev2,2
22,ble,11,60,1,2427.0,2429.0,ble-22-ev2,2
22,ble,11,61,1,2427.0,2429.0,ble-22-ev2,2
22,ble,11,62,1,2427.0,2429.0,ble-22-ev2,2
22,ble,11,63,1,2427.0,2429.0,ble-22-ev2,2
23,ble,20,19,1,2445.0,2447.0,ble-23-ev0,0
23,ble,20,20,1,2445.0,2447.0,ble-23-ev0,0
23,ble,20,21,1,2445.0,2447.0,ble-23-ev0,0
23,ble,29,51,1,2463.0,2465.0,ble-23-ev1,1
23,ble,29,52,1,2463.0,2465.0,ble-23-ev1,1
23,ble,29,53,1,2463.0,2465.0,ble-23-ev1,1
24,ble,13,30,1,2431.0,2433.0,ble-24-ev0,0
24,ble,13,31,1,2431.0,2433.0,ble-24-ev0,0
24,ble,20,46,1,2445.0,2447.0,ble-24-ev1,1
24,ble,20,47,1,2445.0,2447.0,ble-24-ev1,1
24,ble,27,62,1,2459.0,2461.0,ble-24-ev2,2
24,ble,27,63,1,2459.0,2461.0,ble-24-ev2,2
25,wifi,5,9,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,10,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,11,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,12,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,13,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,41,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,42,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,43,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,44,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,45,1,2427.0,2447.0,wifi-25-ev1,1
26,ble,25,0,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,1,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,2,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,3,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,4,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,5,1,2455.0,2457.0,ble-26-ev0,0
26,ble,30,16,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,17,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,18,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,19,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,20,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,21,1,2465.0,2467.0,ble-26-ev1,1
26,ble,35,32,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,33,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,34,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,35,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,36,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,37,1,2475.0,2477.0,ble-26-ev2,2
26,ble,3,48,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,49,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,50,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,51,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,52,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,53,1,2409.0,2411.0,ble-26-ev3,3
27,ble,27,0,1,2459.0,2461.0,ble-27-ev0,0
