schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[3, 4, 10, 26, 27, 34, 36, 40, 43, 47]","[40, 47]","[3, 4, 10, 26, 27, 34, 36, 43]",10,2,8
1,"[4, 10, 26, 27, 34, 36, 40, 43, 47]","[40, 47]","[4, 10, 26, 27, 34, 36, 43]",9,2,7
2,"[4, 10, 26, 27, 34, 40, 43, 47]","[40, 47]","[4, 10, 26, 27, 34, 43]",8,2,6
3,"[4, 26, 27, 34, 40, 43, 47]","[40, 47]","[4, 26, 27, 34, 43]",7,2,5
4,"[4, 26, 27, 34, 40, 43, 47]","[40, 47]","[4, 26, 27, 34, 43]",7,2,5
5,"[4, 19, 26, 34, 40, 47]","[40, 47]","[4, 19, 26, 34]",6,2,4
6,"[40, 47]","[40, 47]",[],2,2,0
7,[40],[40],[],1,1,0
8,"[3, 34, 36]",[],"[3, 34, 36]",3,0,3
9,"[8, 20, 25, 34, 36, 41]",[25],"[8, 20, 34, 36, 41]",6,1,5
10,"[8, 12, 20, 25, 34, 41]",[25],"[8, 12, 20, 34, 41]",6,1,5
11,"[8, 12, 20, 25, 34, 41]",[25],"[8, 12, 20, 34, 41]",6,1,5
12,"[20, 25, 33, 34, 41]",[25],"[20, 33, 34, 41]",5,1,4
13,"[20, 25, 33, 34, 41]",[25],"[20, 33, 34, 41]",5,1,4
14,"[20, 21, 32, 33]",[],"[20, 21, 32, 33]",4,0,4
15,"[21, 28, 32, 33]",[],"[21, 28, 32, 33]",4,0,4
16,"[3, 4, 10, 18, 21, 26, 34, 36]",[],"[3, 4, 10, 18, 21, 26, 34, 36]",8,0,8
17,"[4, 10, 21, 26, 31, 34, 36]",[],"[4, 10, 21, 26, 31, 34, 36]",7,0,7
18,"[4, 10, 21, 26, 31, 34, 48]",[],"[4, 10, 21, 26, 31, 34, 48]",7,0,7
19,"[4, 14, 23, 26, 31, 34, 38, 48]",[],"[4, 14, 23, 26, 31, 34, 38, 48]",8,0,8
20,"[2, 4, 5, 14, 23, 26, 29, 31, 34, 35, 38, 45, 48]",[],"[2, 4, 5, 14, 23, 26, 29, 31, 34, 35, 38, 45, 48]",13,0,13
21,"[2, 4, 5, 6, 14, 19, 23, 26, 29, 31, 34, 35, 38, 45, 48]",[],"[2, 4, 5, 6, 14, 19, 23, 26, 29, 31, 34, 35, 38, 45, 48]",15,0,15
22,"[2, 5, 14, 21, 29, 31, 35, 38, 45, 48]",[],"[2, 5, 14, 21, 29, 31, 35, 38, 45, 48]",10,0,10
23,"[2, 5, 14, 21, 29, 35, 38, 45]",[],"[2, 5, 14, 21, 29, 35, 38, 45]",8,0,8
24,"[3, 14, 18, 21, 29, 35, 36, 38]",[],"[3, 14, 18, 21, 29, 35, 36, 38]",8,0,8
25,"[8, 21, 36]",[],"[8, 21, 36]",3,0,3
26,"[8, 21]",[],"[8, 21]",2,0,2
27,[8],[],[8],1,0,1
28,"[16, 33]",[],"[16, 33]",2,0,2
29,"[16, 33]",[],"[16, 33]",2,0,2
30,"[7, 16, 21, 24, 32, 33]",[],"[7, 16, 21, 24, 32, 33]",6,0,6
31,"[0, 7, 16, 21, 24, 28, 32, 33]",[],"[0, 7, 16, 21, 24, 28, 32, 33]",8,0,8
32,"[3, 4, 10, 18, 21, 26, 36, 40, 47]","[40, 47]","[3, 4, 10, 18, 21, 26, 36]",9,2,7
33,"[4, 10, 21, 26, 36, 40, 47]","[40, 47]","[4, 10, 21, 26, 36]",7,2,5
34,"[4, 10, 21, 26, 40, 47]","[40, 47]","[4, 10, 21, 26]",6,2,4
35,"[4, 26, 40, 47]","[40, 47]","[4, 26]",4,2,2
36,"[4, 26, 40, 47]","[40, 47]","[4, 26]",4,2,2
37,"[4, 19, 26, 40, 47]","[40, 47]","[4, 19, 26]",5,2,3
38,"[40, 47]","[40, 47]",[],2,2,0
39,"[0, 15, 40]",[40],"[0, 15]",3,1,2
40,"[3, 15, 36]",[],"[3, 15, 36]",3,0,3
41,"[8, 15, 20, 25, 36, 41]",[25],"[8, 15, 20, 36, 41]",6,1,5
42,"[8, 11, 12, 15, 20, 25, 41]",[25],"[8, 11, 12, 15, 20, 41]",7,1,6
43,"[8, 12, 15, 20, 22, 25, 41, 42]",[25],"[8, 12, 15, 20, 22, 41, 42]",8,1,7
44,"[20, 22, 25, 33, 41, 42]",[25],"[20, 22, 33, 41, 42]",6,1,5
45,"[20, 22, 25, 33, 41, 42]",[25],"[20, 22, 33, 41, 42]",6,1,5
46,"[20, 22, 24, 32, 33, 42]",[],"[20, 22, 24, 32, 33, 42]",6,0,6
47,"[0, 17, 22, 24, 28, 32, 33, 42]",[],"[0, 17, 22, 24, 28, 32, 33, 42]",8,0,8
48,"[3, 4, 10, 26, 36]",[],"[3, 4, 10, 26, 36]",5,0,5
49,"[4, 10, 26, 31, 36]",[],"[4, 10, 26, 31, 36]",5,0,5
50,"[4, 10, 26, 31, 48]",[],"[4, 10, 26, 31, 48]",5,0,5
51,"[4, 22, 23, 26, 31, 42, 48]",[],"[4, 22, 23, 26, 31, 42, 48]",7,0,7
52,"[4, 22, 23, 26, 31, 42, 48]",[],"[4, 22, 23, 26, 31, 42, 48]",7,0,7
53,"[4, 6, 19, 22, 23, 26, 31, 42, 48]",[],"[4, 6, 19, 22, 23, 26, 31, 42, 48]",9,0,9
54,"[22, 31, 42, 48]",[],"[22, 31, 42, 48]",4,0,4
55,"[17, 22, 42]",[],"[17, 22, 42]",3,0,3
56,"[3, 36]",[],"[3, 36]",2,0,2
57,"[8, 36]",[],"[8, 36]",2,0,2
58,[8],[],[8],1,0,1
59,"[8, 22, 42]",[],"[8, 22, 42]",3,0,3
60,"[9, 16, 22, 33, 42]",[],"[9, 16, 22, 33, 42]",5,0,5
61,"[9, 16, 22, 33, 42]",[],"[9, 16, 22, 33, 42]",5,0,5
62,"[7, 9, 16, 22, 24, 32, 33, 42]",[],"[7, 9, 16, 22, 24, 32, 33, 42]",8,0,8
63,"[7, 9, 16, 17, 22, 24, 28, 32, 33, 42]",[],"[7, 9, 16, 17, 22, 24, 28, 32, 33, 42]",10,0,10
