pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,1.000,0,63,47,58.750,per_ce,"[3, 10, 17]",0,NA,NA,NA,NA,NA,47,8,10.000,1,1.250,true,NA,NA,NA,64,"[47, 55, 63]"
1,0,wifi,0,1.000,0,63,7,8.750,NA,NA,0,7,16,20.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[7, 8, 9, 10, 11, 23, 24, 25, 26, 27, 39, 40, 41, 42, 43, 55, 56, 57, 58, 59]"
2,0,ble,13,1.000,0,63,20,25.000,per_ce,[13],0,NA,NA,NA,NA,NA,20,64,80.000,4,5.000,true,NA,NA,NA,64,"[20, 21, 22, 23]"
3,0,ble,26,1.000,0,63,0,0.000,per_ce,"[26, 35, 7, 16, 25, 34, 6, 15]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,"[0, 8, 16, 24, 32, 40, 48, 56]"
4,0,ble,29,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,16,20.000,6,7.500,true,NA,NA,NA,64,[]
5,0,ble,25,1.000,0,63,20,25.000,per_ce,[25],0,NA,NA,NA,NA,NA,20,64,80.000,4,5.000,true,NA,NA,NA,64,"[20, 21, 22, 23]"
6,0,ble,6,1.000,0,63,21,26.250,per_ce,"[6, 13]",0,NA,NA,NA,NA,NA,21,32,40.000,1,1.250,true,NA,NA,NA,64,"[21, 53]"
7,0,ble,7,1.000,0,63,20,25.000,per_ce,"[7, 14]",0,NA,NA,NA,NA,NA,20,32,40.000,2,2.500,true,NA,NA,NA,64,"[20, 21, 52, 53]"
8,0,ble,32,1.000,0,63,13,16.250,per_ce,"[32, 0, 5, 10]",0,NA,NA,NA,NA,NA,13,16,20.000,3,3.750,true,NA,NA,NA,64,"[13, 14, 15, 29, 30, 31, 45, 46, 47, 61, 62, 63]"
9,0,ble,13,1.000,0,63,60,75.000,per_ce,[13],0,NA,NA,NA,NA,NA,60,64,80.000,4,5.000,true,NA,NA,NA,64,"[60, 61, 62, 63]"
10,0,ble,24,1.000,0,63,0,0.000,per_ce,"[24, 29, 34, 2]",0,NA,NA,NA,NA,NA,0,16,20.000,3,3.750,true,NA,NA,NA,64,"[0, 1, 2, 16, 17, 18, 32, 33, 34, 48, 49, 50]"
11,0,ble,7,1.000,0,63,63,78.750,per_ce,[7],0,NA,NA,NA,NA,NA,63,64,80.000,1,1.250,true,NA,NA,NA,64,[63]
12,0,ble,35,1.000,0,63,20,25.000,per_ce,"[35, 5]",0,NA,NA,NA,NA,NA,20,32,40.000,2,2.500,true,NA,NA,NA,64,"[20, 21, 52, 53]"
13,0,ble,10,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,32,40.000,3,3.750,true,NA,NA,NA,64,[]
14,0,ble,7,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,6,7.500,true,NA,NA,NA,64,[]
15,0,ble,9,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,64,80.000,5,6.250,true,NA,NA,NA,64,[]
16,0,ble,8,1.000,0,63,19,23.750,per_ce,"[8, 15]",0,NA,NA,NA,NA,NA,19,32,40.000,4,5.000,true,NA,NA,NA,64,"[19, 20, 21, 22, 51, 52, 53, 54]"
17,0,ble,3,1.000,0,63,-1,-1.250,per_ce,[],0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
18,0,ble,16,1.000,0,63,31,38.750,per_ce,"[16, 23, 30]",0,NA,NA,NA,NA,NA,31,8,10.000,1,1.250,true,NA,NA,NA,64,"[31, 39, 47]"
19,0,ble,21,1.000,0,63,0,0.000,per_ce,"[21, 26, 31, 36]",0,NA,NA,NA,NA,NA,0,16,20.000,1,1.250,true,NA,NA,NA,64,"[0, 16, 32, 48]"
