pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
2,0,24,55,59,2453.000,2455.000
3,0,26,1,2,2457.000,2459.000
3,1,27,9,10,2459.000,2461.000
3,2,28,17,18,2461.000,2463.000
3,3,29,25,26,2463.000,2465.000
3,4,30,33,34,2465.000,2467.000
3,5,31,41,42,2467.000,2469.000
3,6,32,49,50,2469.000,2471.000
3,7,33,57,58,2471.000,2473.000
4,0,29,3,9,2463.000,2465.000
4,1,30,19,25,2465.000,2467.000
4,2,31,35,41,2467.000,2469.000
4,3,32,51,57,2469.000,2471.000
5,0,33,1,5,2471.000,2473.000
6,0,25,31,32,2455.000,2457.000
6,1,34,63,64,2473.000,2475.000
7,0,28,30,32,2461.000,2463.000
7,1,0,62,64,2403.000,2405.000
8,0,32,1,4,2469.000,2471.000
8,1,33,17,20,2471.000,2473.000
8,2,34,33,36,2473.000,2475.000
8,3,35,49,52,2475.000,2477.000
9,0,25,14,18,2455.000,2457.000
10,0,24,4,7,2453.000,2455.000
10,1,25,20,23,2455.000,2457.000
10,2,26,36,39,2457.000,2459.000
10,3,27,52,55,2459.000,2461.000
11,0,21,61,62,2447.000,2449.000
12,0,35,2,4,2475.000,2477.000
12,1,36,34,36,2477.000,2479.000
13,0,26,31,34,2457.000,2459.000
13,1,31,63,64,2467.000,2469.000
13,1,31,0,2,2467.000,2469.000
14,0,24,21,27,2453.000,2455.000
15,0,27,59,64,2459.000,2461.000
16,0,27,12,16,2459.000,2461.000
16,1,32,44,48,2469.000,2471.000
19,0,21,4,5,2447.000,2449.000
19,1,22,20,21,2449.000,2451.000
19,2,23,36,37,2451.000,2453.000
19,3,24,52,53,2453.000,2455.000
23,0,20,14,17,2445.000,2447.000
23,1,21,46,49,2447.000,2449.000
26,0,10,5,11,2423.000,2425.000
26,1,19,21,27,2443.000,2445.000
26,2,28,37,43,2461.000,2463.000
26,3,0,53,59,2403.000,2405.000
27,0,27,4,9,2459.000,2461.000
28,0,31,15,16,2467.000,2469.000
28,1,3,31,32,2409.000,2411.000
28,2,12,47,48,2429.000,2431.000
28,3,21,63,64,2447.000,2449.000
29,0,32,4,9,2469.000,2471.000
30,0,22,0,3,2449.000,2451.000
30,1,31,32,35,2467.000,2469.000
31,0,5,26,32,2413.000,2415.000
31,1,10,58,64,2423.000,2425.000
35,0,2,59,64,2407.000,2409.000
37,0,5,12,15,2413.000,2415.000
37,1,10,44,47,2423.000,2425.000
38,0,21,14,20,2447.000,2449.000
39,0,26,11,17,2457.000,2459.000
39,1,27,27,33,2459.000,2461.000
39,2,28,43,49,2461.000,2463.000
39,3,29,59,64,2463.000,2465.000
39,3,29,0,1,2463.000,2465.000
41,0,30,10,15,2465.000,2467.000
41,1,31,42,47,2467.000,2469.000
43,0,35,4,9,2475.000,2477.000
45,0,25,55,59,2455.000,2457.000
48,0,24,7,12,2453.000,2455.000
48,1,29,39,44,2463.000,2465.000
