pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,3.000,0,63,-1,-1.250,per_ce,"[6,11,16,21,26,31,36,4]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
1,0,wifi,0,3.000,0,63,0,0.000,per_ce,NA,0,3,16,20.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0,1,2,3,4,16,17,18,19,20,32,33,34,35,36,48,49,50,51,52]"
2,0,ble,13,3.000,0,63,56,70.000,per_ce,[24],0,NA,NA,NA,NA,NA,26,64,80.000,3,3.750,true,37,1,1.000,64,"[56,57,58]"
3,0,ble,26,2.000,0,63,-1,-1.250,per_ce,"[32,0,5,10]",0,NA,NA,NA,NA,NA,5,16,20.000,6,7.500,true,NA,NA,NA,64,[]
4,0,ble,29,2.000,0,63,-1,-1.250,per_ce,"[7,16,25,34]",0,NA,NA,NA,NA,NA,0,16,20.000,3,3.750,true,NA,NA,NA,64,[]
5,0,ble,25,3.000,0,63,-1,-1.250,per_ce,"[5,14,23,32,4,13,22,31]",0,NA,NA,NA,NA,NA,3,8,10.000,1,1.250,true,NA,NA,NA,64,[]
6,0,ble,6,2.000,0,63,-1,-1.250,per_ce,"[6,7,8,9,10,11,12,13]",0,NA,NA,NA,NA,NA,0,8,10.000,6,7.500,true,NA,NA,NA,64,[]
7,0,ble,7,2.000,0,63,25,31.250,per_ce,"[17,22]",0,NA,NA,NA,NA,NA,2,32,40.000,2,2.500,true,37,1,1.000,64,"[25,26,57,58]"
8,0,ble,32,2.000,0,63,-1,-1.250,per_ce,"[6,11,16,21,26,31,36,4]",0,NA,NA,NA,NA,NA,5,8,10.000,3,3.750,true,NA,NA,NA,64,[]
9,0,ble,13,1.000,0,63,14,17.500,per_ce,"[25,30]",0,NA,NA,NA,NA,NA,17,32,40.000,5,6.250,true,37,2,0.973,64,"[14,15,16,17,18,46,47,48,49,50]"
10,0,ble,24,2.000,0,63,3,3.750,per_ce,"[24,25,26,27]",0,NA,NA,NA,NA,NA,10,16,20.000,5,6.250,true,17,2,0.941,64,"[3,4,5,6,7,19,20,21,22,23,35,36,37,38,39,51,52,53,54,55]"
11,0,ble,7,3.000,0,63,28,35.000,per_ce,"[36,8]",0,NA,NA,NA,NA,NA,5,32,40.000,4,5.000,true,27,1,1.000,64,"[28,29,30,31,60,61,62,63]"
12,0,ble,35,1.000,0,63,31,38.750,per_ce,"[29,1]",0,NA,NA,NA,NA,NA,22,32,40.000,1,1.250,true,27,1,1.000,64,"[31,63]"
13,0,ble,10,2.000,0,63,61,76.250,per_ce,[6],0,NA,NA,NA,NA,NA,32,64,80.000,3,3.750,true,27,1,1.000,64,"[61,62,63]"
14,0,ble,7,2.000,0,63,-1,-1.250,per_ce,"[24,29,34,2]",0,NA,NA,NA,NA,NA,10,16,20.000,5,6.250,true,NA,NA,NA,64,[]
15,0,ble,9,1.000,0,63,-1,-1.250,per_ce,"[27,32,0,5,10,15,20,25]",0,NA,NA,NA,NA,NA,2,8,10.000,3,3.750,true,NA,NA,NA,64,[]
16,0,ble,8,1.000,0,63,15,18.750,per_ce,"[27,32,0,5]",0,NA,NA,NA,NA,NA,4,16,20.000,1,1.250,true,37,1,1.000,64,"[15,31,47,63]"
17,0,ble,3,2.000,0,63,-1,-1.250,per_ce,"[7,16,25,34]",0,NA,NA,NA,NA,NA,9,16,20.000,4,5.000,true,NA,NA,NA,64,[]
