pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,3.000,0,63,-1,-1.250,per_ce,"[6,11,16,21,26,31,36,4]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
3,0,ble,26,2.000,0,63,-1,-1.250,per_ce,"[32,0,5,10]",0,NA,NA,NA,NA,NA,5,16,20.000,6,7.500,true,NA,NA,NA,64,[]
4,0,ble,29,2.000,0,63,-1,-1.250,per_ce,"[7,16,25,34]",0,NA,NA,NA,NA,NA,0,16,20.000,3,3.750,true,NA,NA,NA,64,[]
5,0,ble,25,3.000,0,63,-1,-1.250,per_ce,"[5,14,23,32,4,13,22,31]",0,NA,NA,NA,NA,NA,3,8,10.000,1,1.250,true,NA,NA,NA,64,[]
6,0,ble,6,2.000,0,63,-1,-1.250,per_ce,"[6,7,8,9,10,11,12,13]",0,NA,NA,NA,NA,NA,0,8,10.000,6,7.500,true,NA,NA,NA,64,[]
8,0,ble,32,2.000,0,63,-1,-1.250,per_ce,"[6,11,16,21,26,31,36,4]",0,NA,NA,NA,NA,NA,5,8,10.000,3,3.750,true,NA,NA,NA,64,[]
14,0,ble,7,2.000,0,63,-1,-1.250,per_ce,"[24,29,34,2]",0,NA,NA,NA,NA,NA,10,16,20.000,5,6.250,true,NA,NA,NA,64,[]
15,0,ble,9,1.000,0,63,-1,-1.250,per_ce,"[27,32,0,5,10,15,20,25]",0,NA,NA,NA,NA,NA,2,8,10.000,3,3.750,true,NA,NA,NA,64,[]
17,0,ble,3,2.000,0,63,-1,-1.250,per_ce,"[7,16,25,34]",0,NA,NA,NA,NA,NA,9,16,20.000,4,5.000,true,NA,NA,NA,64,[]
20,0,ble,5,2.000,0,63,-1,-1.250,per_ce,"[15,24]",0,NA,NA,NA,NA,NA,11,32,40.000,3,3.750,true,NA,NA,NA,64,[]
22,0,ble,1,3.000,0,63,-1,-1.250,per_ce,"[15,24,33,5,14,23,32,4]",0,NA,NA,NA,NA,NA,5,8,10.000,2,2.500,true,NA,NA,NA,64,[]
23,0,ble,20,2.000,0,63,-1,-1.250,per_ce,"[20,21,22,23,24,25,26,27]",0,NA,NA,NA,NA,NA,6,8,10.000,2,2.500,true,NA,NA,NA,64,[]
34,0,ble,32,3.000,0,63,-1,-1.250,per_ce,"[32,0,5,10]",0,NA,NA,NA,NA,NA,12,16,20.000,4,5.000,true,NA,NA,NA,64,[]
35,0,ble,2,1.000,0,63,-1,-1.250,per_ce,"[5,14,23,32,4,13,22,31]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
36,0,ble,33,1.000,0,63,-1,-1.250,per_ce,"[1,10,19,28]",0,NA,NA,NA,NA,NA,11,16,20.000,5,6.250,true,NA,NA,NA,64,[]
39,0,ble,26,1.000,0,63,-1,-1.250,per_ce,"[0,9,18,27,36,8,17,26]",0,NA,NA,NA,NA,NA,3,8,10.000,4,5.000,true,NA,NA,NA,64,[]
41,0,ble,30,3.000,0,63,-1,-1.250,per_ce,"[0,5,10,15,20,25,30,35]",0,NA,NA,NA,NA,NA,3,8,10.000,4,5.000,true,NA,NA,NA,64,[]
42,0,ble,2,3.000,0,63,-1,-1.250,per_ce,"[2,3]",0,NA,NA,NA,NA,NA,14,32,40.000,6,7.500,true,NA,NA,NA,64,[]
45,0,ble,14,1.000,0,63,-1,-1.250,per_ce,"[0,9,18,27,36,8,17,26]",0,NA,NA,NA,NA,NA,2,8,10.000,2,2.500,true,NA,NA,NA,64,[]
