schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[1,13,30,39,40]","[1,40]","[13,30,39]",5,2,3
1,"[1,3,5,8,13,30,40]","[1,40]","[3,5,8,13,30]",7,2,5
2,"[1,5,8,12,30,40]","[1,40]","[5,8,12,30]",6,2,4
3,"[1,4,5,8,12,40]","[1,40]","[4,5,8,12]",6,2,4
4,"[1,4,5,10,19,27,29,40,43]","[1,40]","[4,5,10,19,27,29,43]",9,2,7
5,"[4,10,26,27,29,40,43,47]","[40,47]","[4,10,26,27,29,43]",8,2,6
6,"[4,10,26,27,29,40,43,47]","[40,47]","[4,10,26,27,29,43]",8,2,6
7,"[4,26,27,29,40,43,47,48]","[40,47]","[4,26,27,29,43,48]",8,2,6
8,"[4,26,27,29,43,46,47,48]","[46,47]","[4,26,27,29,43,48]",8,2,6
9,"[3,26,46,47,48]","[46,47]","[3,26,48]",5,2,3
10,"[26,41,46,47,48]","[46,47]","[26,41,48]",5,2,3
11,"[39,41,46,47,48]","[46,47]","[39,41,48]",5,2,3
12,"[16,37,39,41,46]",[46],"[16,37,39,41]",5,1,4
13,"[16,37,39,41,46]",[46],"[16,37,39,41]",5,1,4
14,"[9,16,23,37,38,39,41]",[],"[9,16,23,37,38,39,41]",7,0,7
15,"[9,16,23,28,38,39]",[],"[9,16,23,28,38,39]",6,0,6
16,"[1,9,23,38,39]",[1],"[9,23,38,39]",5,1,4
17,"[1,3,8,9,38]",[1],"[3,8,9,38]",5,1,4
18,"[1,8,38]",[1],"[8,38]",3,1,2
19,"[1,4,8,38]",[1],"[4,8,38]",4,1,3
20,"[1,4,10,19]",[1],"[4,10,19]",4,1,3
21,"[4,10,14,26]",[],"[4,10,14,26]",4,0,4
22,"[4,10,14,26]",[],"[4,10,14,26]",4,0,4
23,"[4,14,26]",[],"[4,14,26]",3,0,3
24,"[4,14,26]",[],"[4,14,26]",3,0,3
25,"[3,14,26]",[],"[3,14,26]",3,0,3
26,"[14,26,31]",[],"[14,26,31]",3,0,3
27,"[25,31,39]",[25],"[31,39]",3,1,2
28,"[25,31,39]",[25],"[31,39]",3,1,2
29,"[25,31,39]",[25],"[31,39]",3,1,2
30,"[7,25,31,39]",[25],"[7,31,39]",4,1,3
31,"[6,7,13,25,28,31,39]",[25],"[6,7,13,28,31,39]",7,1,6
32,"[1,13,30,39,40]","[1,40]","[13,30,39]",5,2,3
33,"[1,3,8,13,30,40]","[1,40]","[3,8,13,30]",6,2,4
34,"[1,8,12,30,40]","[1,40]","[8,12,30]",5,2,3
35,"[1,4,8,12,40]","[1,40]","[4,8,12]",5,2,3
36,"[1,4,10,19,40]","[1,40]","[4,10,19]",5,2,3
37,"[4,10,26,40,47]","[40,47]","[4,10,26]",5,2,3
38,"[4,10,26,40,47]","[40,47]","[4,10,26]",5,2,3
39,"[4,26,40,47,48]","[40,47]","[4,26,48]",5,2,3
40,"[4,26,46,47,48]","[46,47]","[4,26,48]",5,2,3
41,"[3,26,46,47,48]","[46,47]","[3,26,48]",5,2,3
42,"[26,41,46,47,48]","[46,47]","[26,41,48]",5,2,3
43,"[39,41,46,47,48]","[46,47]","[39,41,48]",5,2,3
44,"[16,37,39,41,46]",[46],"[16,37,39,41]",5,1,4
45,"[16,37,39,41,46]",[46],"[16,37,39,41]",5,1,4
46,"[16,23,37,39,41]",[],"[16,23,37,39,41]",5,0,5
47,"[16,23,28,39]",[],"[16,23,28,39]",4,0,4
48,"[1,23,39]",[1],"[23,39]",3,1,2
49,"[1,3,8]",[1],"[3,8]",3,1,2
50,"[1,8]",[1],[8],2,1,1
51,"[1,4,8]",[1],"[4,8]",3,1,2
52,"[1,4,10,19]",[1],"[4,10,19]",4,1,3
53,"[4,10,26]",[],"[4,10,26]",3,0,3
54,"[4,10,26]",[],"[4,10,26]",3,0,3
55,"[2,4,26,45]",[],"[2,4,26,45]",4,0,4
56,"[2,4,26,45]",[],"[2,4,26,45]",4,0,4
57,"[2,3,26,45]",[],"[2,3,26,45]",4,0,4
58,"[2,26,31,45]",[],"[2,26,31,45]",4,0,4
59,"[15,25,31,35,39]",[25],"[15,31,35,39]",5,1,4
60,"[15,25,31,35,39]",[25],"[15,31,35,39]",5,1,4
61,"[11,15,25,31,35,39]",[25],"[11,15,31,35,39]",6,1,5
62,"[7,15,25,31,35,39]",[25],"[7,15,31,35,39]",6,1,5
63,"[6,7,13,15,25,28,31,35,39]",[25],"[6,7,13,15,28,31,35,39]",9,1,8
