pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
2,0,24,55,59,2453.000,2455.000
4,0,29,4,10,2463.000,2465.000
4,1,30,20,26,2465.000,2467.000
4,2,31,36,42,2467.000,2469.000
4,3,32,52,58,2469.000,2471.000
5,0,25,3,7,2455.000,2457.000
6,0,6,0,1,2415.000,2417.000
6,1,7,32,33,2417.000,2419.000
7,0,28,31,33,2461.000,2463.000
7,1,0,63,64,2403.000,2405.000
7,1,0,0,1,2403.000,2405.000
8,0,32,1,4,2469.000,2471.000
8,1,33,17,20,2471.000,2473.000
8,2,34,33,36,2473.000,2475.000
8,3,35,49,52,2475.000,2477.000
9,0,13,14,18,2431.000,2433.000
10,0,24,4,7,2453.000,2455.000
10,1,25,20,23,2455.000,2457.000
10,2,26,36,39,2457.000,2459.000
10,3,27,52,55,2459.000,2461.000
11,0,7,62,63,2417.000,2419.000
12,0,35,2,4,2475.000,2477.000
12,1,36,34,36,2477.000,2479.000
13,0,6,14,17,2415.000,2417.000
13,1,15,46,49,2435.000,2437.000
14,0,5,56,62,2413.000,2415.000
15,0,27,60,64,2459.000,2461.000
15,0,27,0,1,2459.000,2461.000
16,0,27,29,33,2459.000,2461.000
16,1,32,61,64,2469.000,2471.000
16,1,32,0,1,2469.000,2471.000
19,0,29,0,1,2463.000,2465.000
19,1,1,16,17,2405.000,2407.000
19,2,10,32,33,2423.000,2425.000
19,3,19,48,49,2443.000,2445.000
20,0,28,25,31,2461.000,2463.000
20,1,33,57,63,2471.000,2473.000
23,0,20,24,27,2445.000,2447.000
23,1,21,56,59,2447.000,2449.000
26,0,25,13,19,2455.000,2457.000
26,1,26,29,35,2457.000,2459.000
26,2,27,45,51,2459.000,2461.000
26,3,28,61,64,2461.000,2463.000
26,3,28,0,3,2461.000,2463.000
27,0,27,4,9,2459.000,2461.000
28,0,5,15,16,2413.000,2415.000
28,1,6,31,32,2415.000,2417.000
28,2,7,47,48,2417.000,2419.000
28,3,8,63,64,2419.000,2421.000
29,0,32,4,9,2469.000,2471.000
30,0,29,1,4,2463.000,2465.000
30,1,30,33,36,2465.000,2467.000
33,0,34,6,10,2473.000,2475.000
33,1,35,22,26,2475.000,2477.000
33,2,36,38,42,2477.000,2479.000
33,3,0,54,58,2403.000,2405.000
35,0,3,60,64,2409.000,2411.000
35,0,3,0,1,2409.000,2411.000
37,0,5,25,28,2413.000,2415.000
37,1,10,57,60,2423.000,2425.000
38,0,21,14,20,2447.000,2449.000
39,0,26,1,7,2457.000,2459.000
39,1,27,17,23,2459.000,2461.000
39,2,28,33,39,2461.000,2463.000
39,3,29,49,55,2463.000,2465.000
41,0,30,10,15,2465.000,2467.000
41,1,31,42,47,2467.000,2469.000
43,0,35,4,9,2475.000,2477.000
45,0,14,55,59,2433.000,2435.000
48,0,24,7,12,2453.000,2455.000
48,1,29,39,44,2463.000,2465.000
