pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,1.000,0,63,-1,-1.250,per_ce,"[10,19,28,0,9,18,27,36]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
1,0,wifi,0,2.000,0,63,1,1.250,per_ce,NA,0,3,16,20.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[1,2,3,4,5,17,18,19,20,21,33,34,35,36,37,49,50,51,52,53]"
2,0,ble,13,1.000,0,63,55,68.750,per_ce,[24],0,NA,NA,NA,NA,NA,30,64,80.000,4,5.000,true,37,2,0.973,64,"[55,56,57,58]"
3,0,ble,26,2.000,0,63,-1,-1.250,per_ce,"[32,0,5,10,15,20,25,30]",0,NA,NA,NA,NA,NA,1,8,10.000,1,1.250,true,NA,NA,NA,64,[]
4,0,ble,29,1.000,0,63,4,5.000,per_ce,"[29,30,31,32]",0,NA,NA,NA,NA,NA,8,16,20.000,6,7.500,true,17,5,0.785,64,"[4,5,6,7,8,9,20,21,22,23,24,25,36,37,38,39,40,41,52,53,54,55,56,57]"
5,0,ble,25,2.000,0,63,3,3.750,per_ce,[25],0,NA,NA,NA,NA,NA,37,64,80.000,4,5.000,true,17,1,1.000,64,"[3,4,5,6]"
6,0,ble,6,3.000,0,63,0,0.000,per_ce,"[6,7]",0,NA,NA,NA,NA,NA,22,32,40.000,1,1.250,true,27,2,0.963,64,"[0,32]"
7,0,ble,7,2.000,0,63,31,38.750,per_ce,"[28,0]",0,NA,NA,NA,NA,NA,23,32,40.000,2,2.500,true,27,1,1.000,64,"[0,31,32,63]"
8,0,ble,32,2.000,0,63,1,1.250,per_ce,"[32,33,34,35]",0,NA,NA,NA,NA,NA,6,16,20.000,3,3.750,true,17,3,0.886,64,"[1,2,3,17,18,19,33,34,35,49,50,51]"
9,0,ble,13,1.000,0,63,14,17.500,per_ce,[13],0,NA,NA,NA,NA,NA,2,64,80.000,4,5.000,true,37,3,0.947,64,"[14,15,16,17]"
