schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[6,7,15,16,19,26,35,46]",[46],"[6,7,15,16,19,26,35]",8,1,7
1,"[1,8,25,26,30,39]","[1,25]","[8,26,30,39]",6,2,4
2,"[1,8,12,25,26,30,39]","[1,25]","[8,12,26,30,39]",7,2,5
3,"[1,5,8,12,25,30,39]","[1,25]","[5,8,12,30,39]",7,2,5
4,"[1,4,5,10,25,27,29,39,43]","[1,25]","[4,5,10,27,29,39,43]",9,2,7
5,"[1,4,5,10,25,27,29,39,43]","[1,25]","[4,5,10,27,29,39,43]",9,2,7
6,"[4,5,10,27,29,33,39,40,43,47]","[40,47]","[4,5,10,27,29,33,39,43]",10,2,8
7,"[4,27,29,33,40,43,47,48]","[40,47]","[4,27,29,33,43,48]",8,2,6
8,"[4,27,29,33,40,43,47,48]","[40,47]","[4,27,29,33,43,48]",8,2,6
9,"[4,33,40,47,48]","[40,47]","[4,33,48]",5,2,3
10,"[40,41,47,48]","[40,47]","[41,48]",4,2,2
11,"[40,41,47,48]","[40,47]","[41,48]",4,2,2
12,"[40,41,47]","[40,47]",[41],3,2,1
13,"[26,40,41]",[40],"[26,41]",3,1,2
14,"[9,13,26,38,41]",[],"[9,13,26,38,41]",5,0,5
15,"[9,13,26,28,38]",[],"[9,13,26,28,38]",5,0,5
16,"[9,13,19,26,38]",[],"[9,13,19,26,38]",5,0,5
17,"[1,8,9,26,38,39]",[1],"[8,9,26,38,39]",6,1,5
18,"[1,8,26,38,39]",[1],"[8,26,38,39]",5,1,4
19,"[1,8,38,39]",[1],"[8,38,39]",4,1,3
20,"[1,4,10,39]",[1],"[4,10,39]",4,1,3
21,"[1,4,10,39]",[1],"[4,10,39]",4,1,3
22,"[4,10,33,39]",[],"[4,10,33,39]",4,0,4
23,"[4,33]",[],"[4,33]",2,0,2
24,"[4,23,33]",[],"[4,23,33]",3,0,3
25,"[4,20,23,33,37]",[],"[4,20,23,33,37]",5,0,5
26,"[20,23,37]",[],"[20,23,37]",3,0,3
27,"[20,37,46]",[46],"[20,37]",3,1,2
28,"[20,46]",[46],[20],2,1,1
29,"[16,20,26,46]",[46],"[16,20,26]",4,1,3
30,"[16,20,26,46]",[46],"[16,20,26]",4,1,3
31,"[7,16,26,28,46]",[46],"[7,16,26,28]",5,1,4
32,"[6,7,16,19,26,46]",[46],"[6,7,16,19,26]",6,1,5
33,"[1,8,25,26,30,39]","[1,25]","[8,26,30,39]",6,2,4
34,"[1,8,12,25,26,30,39]","[1,25]","[8,12,26,30,39]",7,2,5
35,"[1,8,12,25,30,39]","[1,25]","[8,12,30,39]",6,2,4
36,"[1,4,10,25,39]","[1,25]","[4,10,39]",5,2,3
37,"[1,4,10,25,39]","[1,25]","[4,10,39]",5,2,3
38,"[4,10,33,39,40,47]","[40,47]","[4,10,33,39]",6,2,4
39,"[4,33,40,47,48]","[40,47]","[4,33,48]",5,2,3
40,"[4,33,40,47,48]","[40,47]","[4,33,48]",5,2,3
41,"[4,33,40,47,48]","[40,47]","[4,33,48]",5,2,3
42,"[40,41,47,48]","[40,47]","[41,48]",4,2,2
43,"[40,41,47,48]","[40,47]","[41,48]",4,2,2
44,"[40,41,47]","[40,47]",[41],3,2,1
45,"[26,40,41]",[40],"[26,41]",3,1,2
46,"[13,26,41]",[],"[13,26,41]",3,0,3
47,"[13,26,28]",[],"[13,26,28]",3,0,3
48,"[13,19,26]",[],"[13,19,26]",3,0,3
49,"[1,8,26,39]",[1],"[8,26,39]",4,1,3
50,"[1,8,26,39]",[1],"[8,26,39]",4,1,3
51,"[1,8,39]",[1],"[8,39]",3,1,2
52,"[1,4,10,39]",[1],"[4,10,39]",4,1,3
53,"[1,4,10,39]",[1],"[4,10,39]",4,1,3
54,"[4,10,33,39]",[],"[4,10,33,39]",4,0,4
55,"[2,4,33,45]",[],"[2,4,33,45]",4,0,4
56,"[2,4,14,23,33,45]",[],"[2,4,14,23,33,45]",6,0,6
57,"[2,4,14,20,23,33,37,45]",[],"[2,4,14,20,23,33,37,45]",8,0,8
58,"[2,14,20,23,37,45]",[],"[2,14,20,23,37,45]",6,0,6
59,"[14,20,37,46]",[46],"[14,20,37]",4,1,3
60,"[14,15,20,35,46]",[46],"[14,15,20,35]",5,1,4
61,"[14,15,16,20,26,35,46]",[46],"[14,15,16,20,26,35]",7,1,6
62,"[11,15,16,20,26,35,46]",[46],"[11,15,16,20,26,35]",7,1,6
63,"[7,15,16,26,28,35,46]",[46],"[7,15,16,26,28,35]",7,1,6
