pair_id,event_index,channel,slot_start,slot_end,freq_low_mhz,freq_high_mhz
2,0,18,56,60,2441.000,2443.000
3,0,26,1,2,2457.000,2459.000
3,1,27,9,10,2459.000,2461.000
3,2,28,17,18,2461.000,2463.000
3,3,29,25,26,2463.000,2465.000
3,4,30,33,34,2465.000,2467.000
3,5,31,41,42,2467.000,2469.000
3,6,32,49,50,2469.000,2471.000
3,7,33,57,58,2471.000,2473.000
4,0,29,3,9,2463.000,2465.000
4,1,30,19,25,2465.000,2467.000
4,2,31,35,41,2467.000,2469.000
4,3,32,51,57,2469.000,2471.000
5,0,25,4,8,2455.000,2457.000
6,0,15,2,3,2435.000,2437.000
6,1,20,34,35,2445.000,2447.000
7,0,28,3,5,2461.000,2463.000
7,1,0,35,37,2403.000,2405.000
8,0,32,1,4,2469.000,2471.000
8,1,33,17,20,2471.000,2473.000
8,2,34,33,36,2473.000,2475.000
8,3,35,49,52,2475.000,2477.000
9,0,25,17,21,2455.000,2457.000
10,0,24,5,8,2453.000,2455.000
10,1,25,21,24,2455.000,2457.000
10,2,26,37,40,2457.000,2459.000
10,3,27,53,56,2459.000,2461.000
11,0,21,5,6,2447.000,2449.000
12,0,29,9,11,2463.000,2465.000
12,1,1,41,43,2405.000,2407.000
13,0,26,31,34,2457.000,2459.000
13,1,31,63,64,2467.000,2469.000
13,1,31,0,2,2467.000,2469.000
14,0,24,39,45,2453.000,2455.000
15,0,27,3,8,2459.000,2461.000
16,0,8,2,6,2419.000,2421.000
16,1,9,34,38,2421.000,2423.000
19,0,29,2,3,2463.000,2465.000
19,1,1,18,19,2405.000,2407.000
19,2,10,34,35,2423.000,2425.000
19,3,19,50,51,2443.000,2445.000
20,0,28,5,11,2461.000,2463.000
20,1,33,37,43,2471.000,2473.000
23,0,36,18,21,2477.000,2479.000
23,1,8,50,53,2419.000,2421.000
26,0,25,8,14,2455.000,2457.000
26,1,26,24,30,2457.000,2459.000
26,2,27,40,46,2459.000,2461.000
26,3,28,56,62,2461.000,2463.000
27,0,27,10,15,2459.000,2461.000
28,0,31,2,3,2467.000,2469.000
28,1,3,18,19,2409.000,2411.000
28,2,12,34,35,2429.000,2431.000
28,3,21,50,51,2447.000,2449.000
29,0,23,4,9,2451.000,2453.000
30,0,29,31,34,2463.000,2465.000
30,1,30,63,64,2465.000,2467.000
30,1,30,0,2,2465.000,2467.000
32,0,14,2,4,2433.000,2435.000
32,1,19,18,20,2443.000,2445.000
32,2,24,34,36,2453.000,2455.000
32,3,29,50,52,2463.000,2465.000
33,0,34,2,6,2473.000,2475.000
33,1,35,18,22,2475.000,2477.000
33,2,36,34,38,2477.000,2479.000
33,3,0,50,54,2403.000,2405.000
35,0,3,3,8,2409.000,2411.000
36,0,35,2,4,2475.000,2477.000
36,1,3,10,12,2409.000,2411.000
36,2,8,18,20,2419.000,2421.000
36,3,13,26,28,2431.000,2433.000
36,4,18,34,36,2441.000,2443.000
36,5,23,42,44,2451.000,2453.000
36,6,28,50,52,2461.000,2463.000
36,7,33,58,60,2471.000,2473.000
37,0,9,19,22,2421.000,2423.000
37,1,18,51,54,2441.000,2443.000
38,0,21,17,23,2447.000,2449.000
39,0,26,11,17,2457.000,2459.000
39,1,27,27,33,2459.000,2461.000
39,2,28,43,49,2461.000,2463.000
39,3,29,59,64,2463.000,2465.000
39,3,29,0,1,2463.000,2465.000
41,0,30,10,15,2465.000,2467.000
41,1,31,42,47,2467.000,2469.000
43,0,35,4,9,2475.000,2477.000
45,0,0,18,22,2403.000,2405.000
48,0,24,8,13,2453.000,2455.000
48,1,29,40,45,2463.000,2465.000
