pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,1.000,0,63,-1,-1.250,per_ce,"[10,19,28,0,9,18,27,36]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
1,0,wifi,0,2.000,0,63,13,16.250,per_ce,NA,0,3,16,20.000,5,6.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"[0,1,13,14,15,16,17,29,30,31,32,33,45,46,47,48,49,61,62,63]"
2,0,ble,13,1.000,0,63,56,70.000,per_ce,[18],0,NA,NA,NA,NA,NA,30,64,80.000,4,5.000,true,27,1,1.000,64,"[56,57,58,59]"
3,0,ble,26,2.000,0,63,1,1.250,per_ce,"[26,27,28,29,30,31,32,33]",0,NA,NA,NA,NA,NA,1,8,10.000,1,1.250,true,17,2,0.941,64,"[1,9,17,25,33,41,49,57]"
4,0,ble,29,1.000,0,63,3,3.750,per_ce,"[29,30,31,32]",0,NA,NA,NA,NA,NA,8,16,20.000,6,7.500,true,37,4,0.921,64,"[3,4,5,6,7,8,19,20,21,22,23,24,35,36,37,38,39,40,51,52,53,54,55,56]"
5,0,ble,25,2.000,0,63,4,5.000,per_ce,[25],0,NA,NA,NA,NA,NA,37,64,80.000,4,5.000,true,27,3,0.927,64,"[4,5,6,7]"
6,0,ble,6,3.000,0,63,2,2.500,per_ce,"[15,20]",0,NA,NA,NA,NA,NA,22,32,40.000,1,1.250,true,37,7,0.848,64,"[2,34]"
7,0,ble,7,2.000,0,63,3,3.750,per_ce,"[28,0]",0,NA,NA,NA,NA,NA,23,32,40.000,2,2.500,true,37,4,0.921,64,"[3,4,35,36]"
8,0,ble,32,2.000,0,63,1,1.250,per_ce,"[32,33,34,35]",0,NA,NA,NA,NA,NA,6,16,20.000,3,3.750,true,17,2,0.941,64,"[1,2,3,17,18,19,33,34,35,49,50,51]"
9,0,ble,13,1.000,0,63,17,21.250,per_ce,[25],0,NA,NA,NA,NA,NA,2,64,80.000,4,5.000,true,27,2,0.963,64,"[17,18,19,20]"
10,0,ble,24,2.000,0,63,5,6.250,per_ce,"[24,25,26,27]",0,NA,NA,NA,NA,NA,3,16,20.000,3,3.750,true,27,3,0.927,64,"[5,6,7,21,22,23,37,38,39,53,54,55]"
11,0,ble,7,2.000,0,63,5,6.250,per_ce,[21],0,NA,NA,NA,NA,NA,9,64,80.000,1,1.250,true,27,3,0.927,64,[5]
12,0,ble,35,2.000,0,63,9,11.250,per_ce,"[29,1]",0,NA,NA,NA,NA,NA,6,32,40.000,2,2.500,true,27,1,1.000,64,"[9,10,41,42]"
13,0,ble,10,1.000,0,63,31,38.750,per_ce,"[26,31]",0,NA,NA,NA,NA,NA,19,32,40.000,3,3.750,true,17,2,0.941,64,"[0,1,31,32,33,63]"
14,0,ble,7,2.000,0,63,39,48.750,per_ce,[24],0,NA,NA,NA,NA,NA,2,64,80.000,6,7.500,true,27,1,1.000,64,"[39,40,41,42,43,44]"
15,0,ble,9,1.000,0,63,3,3.750,per_ce,[27],0,NA,NA,NA,NA,NA,55,64,80.000,5,6.250,true,37,4,0.921,64,"[3,4,5,6,7]"
16,0,ble,8,1.000,0,63,2,2.500,per_ce,"[8,9]",0,NA,NA,NA,NA,NA,16,32,40.000,4,5.000,true,37,7,0.848,64,"[2,3,4,5,34,35,36,37]"
17,0,ble,3,3.000,0,63,-1,-1.250,per_ce,"[3,4,5,6,7,8,9,10]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
18,0,ble,16,3.000,0,63,-1,-1.250,per_ce,"[22,31,3,12,21,30,2,11]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
