pair_id,office_id,radio,channel,priority,release_time_slot,deadline_slot,schedule_slot,schedule_time_ms,ble_channel_mode,ble_ce_channel_summary,start_time_slot,wifi_anchor_slot,wifi_period_slots,wifi_period_ms,wifi_tx_slots,wifi_tx_ms,ble_anchor_slot,ble_ci_slots,ble_ci_ms,ble_ce_slots,ble_ce_ms,ble_ce_feasible,effective_ble_channels,scheduled_ble_pairs,no_collision_probability,macrocycle_slots,occupied_slots_in_macrocycle
0,0,ble,3,1.000,0,63,-1,-1.250,per_ce,"[10,19,28,0,9,18,27,36]",0,NA,NA,NA,NA,NA,0,8,10.000,1,1.250,true,NA,NA,NA,64,[]
17,0,ble,3,3.000,0,63,-1,-1.250,per_ce,"[3,4,5,6,7,8,9,10]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
18,0,ble,16,3.000,0,63,-1,-1.250,per_ce,"[22,31,3,12,21,30,2,11]",0,NA,NA,NA,NA,NA,6,8,10.000,1,1.250,true,NA,NA,NA,64,[]
21,0,ble,17,1.000,0,63,-1,-1.250,per_ce,"[17,18,19,20,21,22,23,24]",0,NA,NA,NA,NA,NA,2,8,10.000,5,6.250,true,NA,NA,NA,64,[]
22,0,ble,1,1.000,0,63,-1,-1.250,per_ce,"[15,24,33,5,14,23,32,4]",0,NA,NA,NA,NA,NA,0,8,10.000,5,6.250,true,NA,NA,NA,64,[]
24,0,ble,13,1.000,0,63,-1,-1.250,per_ce,"[13,14,15,16]",0,NA,NA,NA,NA,NA,11,16,20.000,2,2.500,true,NA,NA,NA,64,[]
31,0,ble,8,1.000,0,63,-1,-1.250,per_ce,"[3,12]",0,NA,NA,NA,NA,NA,20,32,40.000,6,7.500,true,NA,NA,NA,64,[]
34,0,ble,32,1.000,0,63,-1,-1.250,per_ce,"[32,33,34,35,36,0,1,2]",0,NA,NA,NA,NA,NA,1,8,10.000,6,7.500,true,NA,NA,NA,64,[]
42,0,ble,2,1.000,0,63,-1,-1.250,per_ce,"[10,15,20,25,30,35,3,8]",0,NA,NA,NA,NA,NA,1,8,10.000,5,6.250,true,NA,NA,NA,64,[]
44,0,ble,35,1.000,0,63,-1,-1.250,per_ce,"[35,36,0,1,2,3,4,5]",0,NA,NA,NA,NA,NA,2,8,10.000,5,6.250,true,NA,NA,NA,64,[]
