schedule_slot,pair_ids,wifi_pair_ids,ble_pair_ids,pair_count,wifi_pair_count,ble_pair_count
0,"[1,13,30,39,46]","[1,46]","[13,30,39]",5,2,3
1,"[1,3,8,13,30,46]","[1,46]","[3,8,13,30]",6,2,4
2,"[6,8,16,19,28,32,33,36]",[],"[6,8,16,19,28,32,33,36]",8,0,8
3,"[4,7,8,15,16,32,33,35,36]",[],"[4,7,8,15,16,32,33,35,36]",9,0,9
4,"[4,5,7,15,16,29,33,35,40,43]",[40],"[4,5,7,15,16,29,33,35,43]",10,1,9
5,"[4,5,10,11,15,16,20,29,33,35,40,43]",[40],"[4,5,10,11,15,16,20,29,33,35,43]",12,1,11
6,"[4,5,10,15,20,29,35,40,43]",[40],"[4,5,10,15,20,29,35,43]",9,1,8
7,"[4,5,10,15,20,29,35,40,43]",[40],"[4,5,10,15,20,29,35,43]",9,1,8
8,"[4,20,26,29,40,43,48]",[40],"[4,20,26,29,43,48]",7,1,6
9,"[3,12,20,26,40,48]",[40],"[3,12,20,26,48]",6,1,5
10,"[12,20,26,27,36,40,41,48]",[40],"[12,20,26,27,36,41,48]",8,1,7
11,"[26,27,36,39,40,41,48]",[40],"[26,27,36,39,41,48]",7,1,6
12,"[25,26,27,39,41,48]",[25],"[26,27,39,41,48]",6,1,5
13,"[1,25,26,27,39,41]","[1,25]","[26,27,39,41]",6,2,4
14,"[1,25,27,39,41]","[1,25]","[27,39,41]",5,2,3
15,"[1,25,39]","[1,25]",[39],3,2,1
16,"[1,25,39]","[1,25]",[39],3,2,1
17,"[1,3,8,9,38]",[1],"[3,8,9,38]",5,1,4
18,"[8,9,19,23,28,32,33,36,38,45]",[],"[8,9,19,23,28,32,33,36,38,45]",10,0,10
19,"[4,8,9,23,32,33,36,37,38,45]",[],"[4,8,9,23,32,33,36,37,38,45]",10,0,10
20,"[4,9,23,33,37,38,45]",[],"[4,9,23,33,37,38,45]",7,0,7
21,"[4,10,33,37,38,45]",[],"[4,10,33,37,38,45]",6,0,6
22,"[4,10,38,47]",[47],"[4,10,38]",4,1,3
23,"[4,10,47]",[47],"[4,10]",3,1,2
24,"[4,26,47]",[47],"[4,26]",3,1,2
25,"[3,26,47]",[47],"[3,26]",3,1,2
26,"[26,36,47]",[47],"[26,36]",3,1,2
27,"[26,36,39,47]",[47],"[26,36,39]",4,1,3
28,"[26,39,46,47]","[46,47]","[26,39]",4,2,2
29,"[1,26,39,46]","[1,46]","[26,39]",4,2,2
30,"[1,39,46]","[1,46]",[39],3,2,1
31,"[1,13,30,39,46]","[1,46]","[13,30,39]",5,2,3
32,"[1,13,30,39,46]","[1,46]","[13,30,39]",5,2,3
33,"[1,3,8,13,30,46]","[1,46]","[3,8,13,30]",6,2,4
34,"[6,8,16,19,28,32,33,36]",[],"[6,8,16,19,28,32,33,36]",8,0,8
35,"[4,7,8,16,32,33,36]",[],"[4,7,8,16,32,33,36]",7,0,7
36,"[4,7,16,33,40]",[40],"[4,7,16,33]",5,1,4
37,"[4,10,16,20,33,40]",[40],"[4,10,16,20,33]",6,1,5
38,"[4,10,20,40]",[40],"[4,10,20]",4,1,3
39,"[4,10,14,20,40]",[40],"[4,10,14,20]",5,1,4
40,"[4,14,20,26,40,48]",[40],"[4,14,20,26,48]",6,1,5
41,"[3,12,14,20,26,40,48]",[40],"[3,12,14,20,26,48]",7,1,6
42,"[12,14,20,26,36,40,41,48]",[40],"[12,14,20,26,36,41,48]",8,1,7
43,"[14,26,36,39,40,41,48]",[40],"[14,26,36,39,41,48]",7,1,6
44,"[14,25,26,39,41,48]",[25],"[14,26,39,41,48]",6,1,5
45,"[1,25,26,39,41]","[1,25]","[26,39,41]",5,2,3
46,"[1,25,39,41]","[1,25]","[39,41]",4,2,2
47,"[1,25,39]","[1,25]",[39],3,2,1
48,"[1,25,39]","[1,25]",[39],3,2,1
49,"[1,3,8]",[1],"[3,8]",3,1,2
50,"[8,19,23,28,32,33,36]",[],"[8,19,23,28,32,33,36]",7,0,7
51,"[4,8,23,32,33,36,37]",[],"[4,8,23,32,33,36,37]",7,0,7
52,"[4,23,33,37]",[],"[4,23,33,37]",4,0,4
53,"[4,10,33,37]",[],"[4,10,33,37]",4,0,4
54,"[4,10,47]",[47],"[4,10]",3,1,2
55,"[4,10,47]",[47],"[4,10]",3,1,2
56,"[2,4,26,47]",[47],"[2,4,26]",4,1,3
57,"[2,3,26,47]",[47],"[2,3,26]",4,1,3
58,"[2,26,36,47]",[47],"[2,26,36]",4,1,3
59,"[2,26,36,39,47]",[47],"[2,26,36,39]",5,1,4
60,"[26,39,46,47]","[46,47]","[26,39]",4,2,2
61,"[1,26,39,46]","[1,46]","[26,39]",4,2,2
62,"[1,39,46]","[1,46]",[39],3,2,1
63,"[1,13,30,39,46]","[1,46]","[13,30,39]",5,2,3
